id,policy_id,coverage_id,active,created_date
124,34,3,TRUE,2025-02-23 00:00:00
125,34,9,TRUE,2025-02-23 00:00:00
126,35,9,TRUE,2024-10-29 00:00:00
127,35,1,TRUE,2024-10-29 00:00:00
128,35,10,TRUE,2024-10-29 00:00:00
129,35,3,TRUE,2024-10-29 00:00:00
130,35,2,TRUE,2024-10-29 00:00:00
131,36,2,FALSE,2025-07-05 00:00:00
132,36,3,TRUE,2025-07-05 00:00:00
133,37,3,TRUE,2024-05-16 00:00:00
134,37,9,TRUE,2024-05-16 00:00:00
135,37,10,TRUE,2024-05-16 00:00:00
136,37,2,TRUE,2024-05-16 00:00:00
137,37,1,TRUE,2024-05-16 00:00:00
138,38,2,TRUE,2025-07-06 00:00:00
139,38,10,TRUE,2025-07-06 00:00:00
140,39,9,TRUE,2024-08-19 00:00:00
141,39,2,TRUE,2024-08-19 00:00:00
142,40,9,TRUE,2025-09-02 00:00:00
143,40,3,TRUE,2025-09-02 00:00:00
