id,policy_id,due_date,minimum_payment,created_date,balance,status,payment_method,paid_date
40,11,2025-03-19,345.92,2025-03-04 00:00:00,574.01,Overdue,,
41,12,2024-03-18,103.51,2024-03-03 00:00:00,381.75,Pending,,
42,12,2024-04-17,162.27,2024-04-02 00:00:00,432.31,Pending,,
43,12,2024-05-17,63.57,2024-05-02 00:00:00,0.00,Paid,,
44,12,2024-06-16,443.36,2024-06-01 00:00:00,178.24,Overdue,,
45,12,2024-07-16,166.83,2024-07-01 00:00:00,266.89,Pending,,
46,12,2024-08-15,216.32,2024-07-31 00:00:00,509.26,Pending,,
47,13,2025-01-17,469.36,2025-01-02 00:00:00,246.70,Overdue,,
48,13,2025-02-16,252.16,2025-02-01 00:00:00,0.00,Paid,,
49,13,2025-03-18,505.04,2025-03-03 00:00:00,0.00,Paid,,
50,13,2025-04-17,525.16,2025-04-02 00:00:00,519.72,Overdue,,
51,13,2025-05-17,242.28,2025-05-02 00:00:00,324.32,Overdue,,
52,13,2025-06-16,514.90,2025-06-01 00:00:00,0.00,Paid,,
53,14,2024-11-28,97.98,2024-11-13 00:00:00,260.59,Pending,,
54,15,2025-01-13,450.50,2024-12-29 00:00:00,100.78,Pending,,
55,15,2025-02-12,495.01,2025-01-28 00:00:00,0.00,Paid,,
56,15,2025-03-14,310.63,2025-02-27 00:00:00,314.59,Pending,,
57,16,2024-07-01,497.21,2024-06-16 00:00:00,397.05,Overdue,,
58,16,2024-07-31,103.50,2024-07-16 00:00:00,434.10,Pending,,
59,16,2024-08-30,149.38,2024-08-15 00:00:00,376.47,Overdue,,
60,16,2024-09-29,428.03,2024-09-14 00:00:00,57.55,Pending,,
61,16,2024-10-29,261.30,2024-10-14 00:00:00,221.32,Overdue,,
62,16,2024-11-28,435.19,2024-11-13 00:00:00,353.30,Pending,,
63,17,2025-03-21,505.77,2025-03-06 00:00:00,600.05,Pending,,
64,17,2025-04-20,79.54,2025-04-05 00:00:00,359.97,Overdue,,
65,17,2025-05-20,496.26,2025-05-05 00:00:00,0.00,Paid,,
66,18,2024-06-28,56.39,2024-06-13 00:00:00,586.45,Pending,,
67,18,2024-07-28,206.81,2024-07-13 00:00:00,161.83,Overdue,,
68,18,2024-08-27,94.31,2024-08-12 00:00:00,0.00,Paid,,
69,18,2024-09-26,532.55,2024-09-11 00:00:00,390.04,Pending,,
70,18,2024-10-26,592.27,2024-10-11 00:00:00,278.40,Overdue,,
71,18,2024-11-25,200.15,2024-11-10 00:00:00,0.00,Paid,,
72,19,2025-08-30,66.35,2025-08-15 00:00:00,177.44,Overdue,,
73,19,2025-09-29,423.52,2025-09-14 00:00:00,0.00,Paid,,
74,19,2025-10-29,433.54,2025-10-14 00:00:00,551.89,Pending,,
75,20,2024-11-27,362.51,2024-11-12 00:00:00,387.24,Overdue,,
76,21,2024-12-21,551.31,2024-12-06 00:00:00,336.93,Pending,,
77,21,2025-01-20,238.21,2025-01-05 00:00:00,0.00,Paid,,
78,21,2025-02-19,592.52,2025-02-04 00:00:00,284.32,Overdue,,
79,21,2025-03-21,145.65,2025-03-06 00:00:00,265.44,Overdue,,
80,21,2025-04-20,162.06,2025-04-05 00:00:00,343.51,Overdue,,
81,21,2025-05-20,263.47,2025-05-05 00:00:00,391.64,Overdue,,
82,22,2024-08-01,521.36,2024-07-17 00:00:00,0.00,Paid,,
83,22,2024-08-31,600.85,2024-08-16 00:00:00,433.91,Overdue,,
84,22,2024-09-30,546.02,2024-09-15 00:00:00,0.00,Paid,,
85,23,2025-06-28,211.03,2025-06-13 00:00:00,0.00,Paid,,
86,24,2025-02-06,89.03,2025-01-22 00:00:00,495.40,Pending,,
87,25,2024-07-31,88.32,2024-07-16 00:00:00,0.00,Paid,,
88,25,2024-08-30,171.93,2024-08-15 00:00:00,478.07,Pending,,
89,25,2024-09-29,367.01,2024-09-14 00:00:00,0.00,Paid,,
90,26,2024-11-21,541.40,2024-11-06 00:00:00,514.10,Overdue,,
91,27,2025-01-23,175.38,2025-01-08 00:00:00,274.97,Overdue,,
92,28,2024-08-21,556.17,2024-08-06 00:00:00,343.75,Pending,,
93,29,2024-07-24,92.70,2024-07-09 00:00:00,281.32,Pending,,
94,30,2024-08-18,62.22,2024-08-03 00:00:00,150.79,Pending,,
95,30,2024-09-17,212.05,2024-09-02 00:00:00,0.00,Paid,,
96,30,2024-10-17,148.89,2024-10-02 00:00:00,385.95,Overdue,,
97,30,2024-11-16,229.22,2024-11-01 00:00:00,0.00,Paid,,
98,30,2024-12-16,410.19,2024-12-01 00:00:00,0.00,Paid,,
99,30,2025-01-15,88.06,2024-12-31 00:00:00,231.53,Overdue,,
100,31,2024-08-02,338.42,2024-07-18 00:00:00,122.80,Pending,,
101,31,2024-09-01,224.92,2024-08-17 00:00:00,0.00,Paid,,
102,31,2024-10-01,568.59,2024-09-16 00:00:00,409.53,Pending,,
103,31,2024-10-31,549.80,2024-10-16 00:00:00,0.00,Paid,,
104,31,2024-11-30,314.34,2024-11-15 00:00:00,520.01,Overdue,,
105,31,2024-12-30,45.90,2024-12-15 00:00:00,0.00,Paid,,
106,32,2025-06-08,97.45,2025-05-24 00:00:00,133.51,Overdue,,
107,32,2025-07-08,252.75,2025-06-23 00:00:00,0.00,Paid,,
108,32,2025-08-07,369.86,2025-07-23 00:00:00,0.00,Paid,,
109,33,2024-04-13,506.25,2024-03-29 00:00:00,460.96,Pending,,
110,33,2024-05-13,447.90,2024-04-28 00:00:00,0.00,Paid,,
111,33,2024-06-12,398.18,2024-05-28 00:00:00,585.65,Overdue,,
112,33,2024-07-12,251.42,2024-06-27 00:00:00,0.00,Paid,,
113,33,2024-08-11,155.45,2024-07-27 00:00:00,0.00,Paid,,
114,33,2024-09-10,304.15,2024-08-26 00:00:00,256.56,Pending,,
115,34,2025-03-25,477.44,2025-03-10 00:00:00,603.15,Overdue,,
116,35,2024-11-28,272.83,2024-11-13 00:00:00,0.00,Paid,,
117,35,2024-12-28,48.18,2024-12-13 00:00:00,308.29,Overdue,,
118,35,2025-01-27,120.00,2025-01-12 00:00:00,588.59,Overdue,,
119,35,2025-02-26,324.96,2025-02-11 00:00:00,0.00,Paid,,
120,35,2025-03-28,85.79,2025-03-13 00:00:00,578.94,Pending,,
121,35,2025-04-27,53.94,2025-04-12 00:00:00,447.48,Overdue,,
122,36,2025-08-04,469.28,2025-07-20 00:00:00,609.47,Pending,,
123,36,2025-09-03,563.89,2025-08-19 00:00:00,0.00,Paid,,
124,36,2025-10-03,556.74,2025-09-18 00:00:00,125.02,Pending,,
125,37,2024-06-15,490.79,2024-05-31 00:00:00,438.73,Overdue,,
126,37,2024-07-15,275.58,2024-06-30 00:00:00,107.09,Overdue,,
127,37,2024-08-14,338.37,2024-07-30 00:00:00,0.00,Paid,,
128,37,2024-09-13,169.49,2024-08-29 00:00:00,0.00,Paid,,
129,37,2024-10-13,198.15,2024-09-28 00:00:00,0.00,Paid,,
130,37,2024-11-12,198.14,2024-10-28 00:00:00,86.46,Overdue,,
131,38,2025-08-05,357.64,2025-07-21 00:00:00,0.00,Paid,,
132,39,2024-09-18,350.87,2024-09-03 00:00:00,601.32,Pending,,
133,39,2024-10-18,183.44,2024-10-03 00:00:00,528.35,Pending,,
134,39,2024-11-17,503.09,2024-11-02 00:00:00,246.01,Pending,,
135,40,2025-10-02,507.16,2025-09-17 00:00:00,0.00,Paid,,
136,40,2025-11-01,248.99,2025-10-17 00:00:00,0.00,Paid,,
137,40,2025-12-01,57.03,2025-11-16 00:00:00,0.00,Paid,,
138,40,2025-12-31,261.29,2025-12-16 00:00:00,303.90,Overdue,,
139,40,2026-01-30,593.91,2026-01-15 00:00:00,89.30,Overdue,,
140,40,2026-03-01,595.48,2026-02-14 00:00:00,0.00,Paid,,
1,1,2025-10-29,319.90,2025-10-14 00:00:00,234.88,Pending,credit_card,
